CALLSIGN,IS_NEW_ACCOUNT,IS_REMOVED_ACCOUNT,DBA_CHANGED,WEBSITE_CHANGED,OWNERS_CHANGED,BALANCE_CHANGED,PREV_BALANCE,CURR_BALANCE,BALANCE_DELTA,BALANCE_PCT_DELTA_PCT,DBA_CHANGE,WEBSITE_CHANGE,OWNERS_CHANGE,PRODUCT_FLIPS_JSON,ANY_CHANGE
lablabee-inc,false,false,false,false,true,true,"2,246,364.8","2,080,527.98","-165,836.82",-7.38,,,"∅ → Mahfoud SIDI ALI MEBAREK, Samir Tahraoui",,true
crosby,false,false,false,false,false,true,"18,087,096.24","17,926,621.26","-160,474.98",-0.89,,,,,true
sgp-usa,false,false,false,false,false,true,"97,958.97","256,564.5","158,605.53",161.91,,,,,true
uniswapfoundation,false,false,false,false,false,true,"1,710,503.16","1,554,296.08","-156,207.08",-9.13,,,,,true
c-quester,false,false,false,false,false,true,"3,234,977.61","3,085,062.5","-149,915.11",-4.63,,,,,true
fiveonefour-inc,false,false,false,false,false,true,"11,497,295.69","11,353,141.81","-144,153.88",-1.25,,,,,true
adyton,false,false,false,false,false,true,"9,542,437.99","9,398,309.95","-144,128.04",-1.51,,,,,true
akave,false,false,false,false,false,true,"3,268,012.46","3,133,996.44","-134,016.02",-4.1,,,,,true
shortstory,false,false,false,false,false,true,"5,977,882.84","5,844,827.8","-133,055.04",-2.23,,,,,true
sunrise-robotics,false,false,false,false,false,true,"1,962,146.71","1,837,966.82","-124,179.89",-6.33,,,,,true
giga,false,false,false,false,false,true,"7,350,847.32","7,234,574.64","-116,272.68",-1.58,,,,,true
agi-inc,false,false,false,false,false,true,"2,935,499.38","2,826,163.99","-109,335.39",-3.72,,,,"[
  {
    ""from"": 1,
    ""product"": ""FX"",
    ""to"": 0
  }
]",true
browserbase,false,false,false,false,false,true,"55,875,986.19","55,980,738.73","104,752.54",0.19,,,,,true
gadl,false,false,false,false,false,true,"2,207,430.89","2,109,012.45","-98,418.44",-4.46,,,,,true
aurelius-systems,false,false,false,false,false,true,"10,859,144.27","10,763,342.1","-95,802.17",-0.88,,,,,true
cambridge-terahertz,false,false,false,false,false,true,"10,568,674.7","10,473,148.71","-95,525.99",-0.9,,,,,true
applied37,false,false,false,false,false,true,"5,259,092.65","5,166,591.54","-92,501.11",-1.76,,,,"[
  {
    ""from"": 1,
    ""product"": ""Debit Card"",
    ""to"": 0
  }
]",true
jiga3d,false,false,false,false,false,true,"10,136,124.28","10,045,102.31","-91,021.97",-0.9,,,,,true
mint,false,false,false,false,false,true,"16,608,342.78","16,518,131.29","-90,211.49",-0.54,,,,,true
newcompute,false,false,false,false,false,true,"6,400,652.49","6,315,833.85","-84,818.64",-1.33,,,,,true
element-labs,false,false,false,false,false,true,"16,182,231.98","16,100,057.35","-82,174.63",-0.51,,,,,true
sun-metalon-inc,false,false,false,false,false,true,"3,301,798.47","3,221,122.85","-80,675.62",-2.44,,,,,true
promptfoo,false,false,false,false,false,true,"21,587,267.79","21,506,724.95","-80,542.84",-0.37,,,,,true
exec-holdings,false,false,false,false,false,true,"1,896,945.54","1,818,486.88","-78,458.66",-4.14,,,,,true
gc-ai,false,false,false,false,false,true,"10,007,823.06","9,929,726.29","-78,096.77",-0.78,,,,,true
nebari-inc,false,false,false,false,false,true,"8,945,329.59","8,872,508.57","-72,821.02",-0.81,,,,,true
cookup,false,false,false,false,false,true,"20,774,234.65","20,701,787.42","-72,447.23",-0.35,,,,,true
magicaltoys,false,false,false,false,false,true,"4,060,253.73","3,989,883.51","-70,370.22",-1.73,,,,,true
best-friend-finance-llc,false,false,false,false,false,true,"664,036.23","596,198.69","-67,837.54",-10.22,,,,,true
plastic-labs,false,false,false,false,false,true,"2,690,707.65","2,623,131.38","-67,576.27",-2.51,,,,,true
anishdassarma,false,false,false,false,false,true,"13,736,398.39","13,671,027.53","-65,370.86",-0.48,,,,,true
saurin,false,false,false,false,false,true,"13,017,030.93","12,954,533.5","-62,497.43",-0.48,,,,,true
rogo,false,false,false,false,false,true,"15,878,198.37","15,816,535.36","-61,663.01",-0.39,,,,,true
the-agency-fund,false,false,false,false,false,true,"4,272,101.72","4,211,188.42","-60,913.3",-1.43,,,,,true
marathon-targets,false,false,false,false,false,true,"19,587,485.58","19,526,709.02","-60,776.56",-0.31,,,,,true
b24,false,false,false,false,false,true,"22,754,257.94","22,698,318.01","-55,939.93",-0.25,,,,,true
hawcx,false,false,false,false,false,true,"2,167,771.57","2,111,920.95","-55,850.62",-2.58,,,,,true
goteam5,false,false,false,false,false,true,"3,132,494.32","3,077,392.51","-55,101.81",-1.76,,,,,true
opstream,false,false,false,false,false,true,"2,037,086.57","1,983,050.71","-54,035.86",-2.65,,,,,true
aktus,false,false,false,false,false,true,"1,590,863.27","1,537,328.44","-53,534.83",-3.37,,,,,true
thoughts,false,false,false,false,false,true,"3,839,609.18","3,786,871.79","-52,737.39",-1.37,,,,"[
  {
    ""from"": 1,
    ""product"": ""IO"",
    ""to"": 0
  }
]",true
standard-euler-flair,false,false,false,false,false,true,"768,994.04","716,454.36","-52,539.68",-6.83,,,,,true
hopskip,false,false,false,false,false,true,"1,867,429.2","1,815,864.31","-51,564.89",-2.76,,,,,true
genway,false,false,false,false,false,true,"1,381,161.42","1,329,661.42","-51,500",-3.73,,,,,true
talstack,false,false,false,false,false,true,"1,635,029.44","1,584,749.25","-50,280.19",-3.08,,,,,true
cavela,false,false,false,false,false,true,"5,046,967.66","5,000,349.16","-46,618.5",-0.92,,,,,true
macrocycle-technologies,false,false,false,false,false,true,"701,250.38","655,216.84","-46,033.54",-6.56,,,,,true
beeps,false,false,false,false,false,true,"1,950,784.58","1,905,796.97","-44,987.61",-2.31,,,,,true
tangible-materials-inc,false,false,false,false,false,true,"1,505,627.23","1,550,251.23","44,624",2.96,,,,"[
  {
    ""from"": 0,
    ""product"": ""Bill Pay"",
    ""to"": 1
  }
]",true
variantai,false,false,false,false,false,true,"5,196,101.29","5,153,344.37","-42,756.92",-0.82,,,,"[
  {
    ""from"": 1,
    ""product"": ""Bill Pay"",
    ""to"": 0
  }
]",true
onlysales,false,false,false,false,false,true,"3,906,432.13","3,949,089.23","42,657.1",1.09,,,,,true
cozy-finance,false,false,false,false,false,true,"7,899,435.19","7,858,620.38","-40,814.81",-0.52,,,,,true
bread-technologies-incorporated,false,false,false,false,false,true,"3,379,954.97","3,341,056.8","-38,898.17",-1.15,,,,,true
alpenglow,false,false,false,false,false,true,"4,027,354.99","3,988,989.75","-38,365.24",-0.95,,,,,true
aloeidentity,false,false,false,false,false,true,"11,762,932.55","11,724,963.3","-37,969.25",-0.32,,,,,true
crstl,false,false,false,false,false,true,"5,158,265.9","5,120,396.65","-37,869.25",-0.73,,,,,true
hotglue,false,false,false,false,false,true,"1,959,736.01","1,925,242.64","-34,493.37",-1.76,,,,,true
skydaddy-inc,false,false,false,false,false,true,"1,036,289.48","1,003,437.07","-32,852.41",-3.17,,,,,true
virtual-staging-ai,false,false,false,false,false,true,"3,175,491.21","3,206,176.63","30,685.42",0.97,,,,,true
greatquestion,false,false,false,false,false,true,"252,536.73","282,696.53","30,159.8",11.94,,,,,true
memgpt,false,false,false,false,false,true,"6,185,505.69","6,156,488.19","-29,017.5",-0.47,,,,,true
crustdata-technologies-inc,false,false,false,false,false,true,"5,767,451.69","5,738,641.35","-28,810.34",-0.5,,,,,true
nextlevelbusiness,false,false,false,false,false,true,"6,272,607.53","6,301,058.68","28,451.15",0.45,,,,,true
workgrounds,false,false,false,false,false,true,"5,949,523.09","5,977,937.12","28,414.03",0.48,,,,,true
sixtyfivecom-inc,false,false,false,false,false,true,"5,249,269.38","5,220,954.74","-28,314.64",-0.54,,,,,true
