CALLSIGN,DBA,DOMAIN_ROOT,BENEFICIAL_OWNERS
marathon-targets,Marathon Targets Inc,marathon-targets.com,"[
  ""Alexander Brooks""
]"
matonee-inc,Matonee Inc,aptoslabs.com,"[
  ""Avery Ching""
]"
memgpt,Letta,memgpt.ai,"[
  ""Charles Packer"",
  ""Sarah Wooders""
]"
middesk,Middesk,middesk.com,"[
  ""Kyle Mack"",
  ""Kurt Ruppel""
]"
midjourney,Midjourney,midjourney.com,"[
  ""David Holz""
]"
mighty,"Mighty Computing, Inc.",playground.com,"[
  ""Suhail DOSHI""
]"
mint,Mintlify,mintlify.com,"[
  ""Han Wang"",
  ""Hahnbee Lee""
]"
moonpay-usa-llc,MoonPay USA LLC,moonpay.com,"[
  ""Ivan Soto-Wright"",
  ""Mouna Siala""
]"
moxie-partners-inc,"Moxie Partners, Inc.",joinmoxie.com,"[
  ""Samuel Gerstenzang"",
  ""Dan friedman""
]"
nebari-inc,NEBARI INC,nebari.ai,"[
  ""Guy Arazi"",
  ""yoni ramon""
]"
newcompute,NewCompute,newcompute.ai,"[
  ""Pietro Schirano"",
  ""John Beoris""
]"
newton-research,Newton Research,newtonresearch.ai,"[
  ""John Hoctor"",
  ""Matthew Emans"",
  ""Steven Bennett""
]"
nextlevelbusiness,NextLevelBusiness,nextlevelbusiness.com,"[
  ""Oliver Billson""
]"
nextron-systems-llc,NEXTRON SYSTEMS LLC,nextron-systems.com,"[
  ""Marc Hirtz""
]"
ngrok,ngrok,ngrok.com,"[
  ""Alan Shreve""
]"
nocapinc,"NOCAP, Inc.",captions.ai,"[
  ""Dwight Churchill"",
  ""Gaurav Misra""
]"
normal-computing-corporation,Normal Computing Corporation,normalcomputing.ai,"[
  ""Faris Sbahi"",
  ""Yui-Hong Tan"",
  ""Antonio Martinez""
]"
occam-bci-inc,"Occam BCI, Inc",wildbrains.ai,"[
  ""Andre Filipe Marques Smith"",
  ""Ana Montero Horas""
]"
ohr-yossef,Ohr Yossef,,"[
  ""Alan Harari""
]"
one-heart,One Heart Worldwide,oneheartworldwide.org,"[
  ""Sibylle Kristensen""
]"
onepot,onepot,onepot.ai,"[
  ""Andrei Tyrin"",
  ""Daniil Boiko""
]"
onlysales,OnlySales,onlysales.io,"[
  ""Andre Arancibia Farfan""
]"
opstream,opstream,opstream.ai,"[
  ""Lihi Lutan Gavriely"",
  ""Mor Cohen-Tal""
]"
osmando,Osmando Inc,flair.ai,"[
  ""Andong Cao"",
  ""Michelle Weng Friedman""
]"
oso,"Oso Security, Inc.",osohq.com,"[
  ""Graham Neray""
]"
ought,"Ought, Inc.",ought.org,"[
  ""Jungwon Byun""
]"
outtake,"Outtake, Inc",outtake.ai,"[
  ""Alex Arjun Dhillon"",
  ""Andrew Garza""
]"
packdraw-us-llc,Packdraw US LLC,packdraw.com,"[
  ""Ryan Callahan""
]"
papagaio,(Cayman) Papagaio Holdings Limited,getdarwin.ai,"[
  ""Lautaro Schiaffino"",
  ""Ezequiel Alejandro Sculli""
]"
pergolux-llc,PERGOLUX LLC,pergolux.de,"[
  ""Henrik Johannessen"",
  ""Ruben Holm Andersen"",
  ""Johannes Lauchenauer""
]"
perspectus,Perspectus,perspectus.ai,"[
  ""Giovanni Vignone"",
  ""Devin Shah""
]"
phantom-app,Phantom,phantom.app,"[
  ""Francesco Agosti"",
  ""Christopher Kalani"",
  ""Brandon Millman""
]"
phantom-global,Phantom Global,phantom.app,"[
  ""Brandon Millman""
]"
physical-intelligence,"Physical Intelligence (Pi), Inc.",twitter.com/lachygroom,"[
  ""Lachlan Groom"",
  ""Chelsea Finn"",
  ""Karol Hausman"",
  ""Brian Ichter"",
  ""Sergey Levine""
]"
plastic-labs,Plastic Labs Inc.,plasticlabs.xyz,"[
  ""Thomas Howell"",
  ""Courtland Leer"",
  ""James Shook"",
  ""Vincent Trost""
]"
prasso,Prasso Inc,prasso.ai,"[
  ""Joseph Bernstein"",
  ""Robert Bishop"",
  ""Kayvon Beykpour""
]"
promptfoo,Promptfoo,promptfoo.dev,"[
  ""Michael D'Angelo"",
  ""Ian Webster""
]"
pushsecurity,Push Security,pushsecurity.com,"[
  ""Tyrone Erasmus"",
  ""Jacques Louw"",
  ""Adam Bateman""
]"
raspberry-ai,Raspberry AI,useraspberry.com,"[
  ""Jiaping Liu""
]"
receive,Receive,,"[
  ""Ariel Blum""
]"
riley-ai,Riley AI,askriley.io,"[
  ""Claudia Natasia"",
  ""Kevin Hao Ma""
]"
rilix,Rilix,rilix.ai,"[
  ""Victor Sanh"",
  ""Preston Newsome""
]"
rogo,Rogo Technologies,rogodata.com,"[
  ""John Willett"",
  ""Gabriel Stengel""
]"
runware,Runware,runware.ai,"[
  ""Flaviu Radulescu""
]"
saurin,Titan,titanmsp.ai,"[
  ""Saurin Patel"",
  ""David Heffernan""
]"
semgrep-inc,"Semgrep, Inc",semgrep.com,"[
  ""Drew Dennison""
]"
sgp-usa,SGP USA LLC,sailgp.com,"[
  ""Ryan McKillen"",
  ""Michael Buckley""
]"
shortstory,Short Story,my.shortstorybox.com,"[
  ""Samuel Hoffstaetter"",
  ""Isabella Sun""
]"
sincera,Sincera Technologies,sincera.io,"[
  ""Michael O'Sullivan""
]"
sixtyfivecom-inc,DONO.AI Inc,sixtyfive.com,"[
  ""Naftali Gross"",
  ""Eyal Stern"",
  ""Ron Likvornik""
]"
skydaddy-inc,SkyDaddy Inc,skydaddy.ai,"[
  ""Florian Leibert""
]"
socket,Socket,socket.dev,"[
  ""Feross Aboukhadijeh""
]"
solidroad-inc,Solidroad inc.,solidroad.com,"[
  ""Patrick Finlay"",
  ""Mark Hughes""
]"
sova,"Opal Camera, Inc.",opalcamera.com,"[
  ""Stefan Sohlstrom"",
  ""Veeraj Chugh""
]"
spakl,Craftwork,spaklapp.com,"[
  ""Michael Bifulco"",
  ""Timothy Griffin"",
  ""Suzanne Griffin""
]"
sparklearning,"Spark Learning, Inc.",primer.com,"[
  ""Ryan Delk""
]"
specterindustries,Specter,specterindustries.com,"[
  ""Xerxes Libsch""
]"
spindl,Spindle,,"[
  ""Antonio Garcia-Martinez""
]"
spirl,"SPIRL, Inc.",spirl.com,"[
  ""Daniel Oliveri"",
  ""Ilya Nesterov""
]"
standard-euler-flair,"Standard Euler, Inc.",flair.co,"[
  ""Kenny Tay"",
  ""Jace Lotz"",
  ""Daniel Myers""
]"
stonks,"NCC-1701-D, Inc.",stonks.com,"[
  ""Ali Moiz"",
  ""Murtaza Hussain""
]"
studyfetch-llc,"StudyFetch, Inc",studyfetch.com,"[
  ""Ryan Trattner"",
  ""Esan Durrani""
]"
stytch,Stytch,stytch.io,"[
  ""Julianna Lamb"",
  ""Reed McGinley-Stempel""
]"
sublime,"Sublime Security, Inc.",,"[
  ""Ian Thiel"",
  ""Joshua Kamdjou""
]"
sun-metalon-inc,Sun Metalon Inc.,sunmetalon.com,"[
  ""Kazuhiko Nishioka""
]"
suno,Suno,suno.ai,"[
  ""Georg Kucsko"",
  ""Michael Shulman"",
  ""Martin Camacho"",
  ""Keenan Freyberg""
]"
sunrise-robotics,Sunrise Robotics Corporation,sunriserobotics.co,"[
  ""Tomaz Stolfa""
]"
sutika-insurance-llc,Nimble,nimbleins.com,"[
  ""Matthew Sutika""
]"
symbiose-consulting,Symbiose Consulting LLC,edu.ufunded.com,"[
  ""Kevin Abraham Timmer""
]"
talstack,talstack,talstack.com,"[
  ""Kayode Oyewole"",
  ""Tahir Sulyman""
]"
tangible-materials-inc,"Tangible Materials, Inc.",tangiblematerials.com,"[
  ""Anneli Tostar"",
  ""Nicole Granath""
]"
terraform-industries-inc,"Terraform Industries, Inc.",terraformindustries.com,"[
  ""Casey Handmer""
]"
the-agency-fund,The Agency Fund,agency.fund,"[
  ""Temina Madon""
]"
thoughts,"Thoughts ACC, Inc.",trythoughts.com,"[
  ""Ashwath Rajan""
]"
tracespace,Trace Space Inc.,trace.space,"[
  ""Janis Vavere"",
  ""Karlis Broders"",
  ""Mikus Krams""
]"
tripspin,Tripspin,tripspin.com,"[
  ""Shri Ganeshram""
]"
turbineone,TurbineOne,turbineone.com,"[
  ""Ian Kalin"",
  ""Matthew Amacker""
]"
typesafe-ai,TypeSafe AI,linkedin.com/company/typesafe-ai,"[
  ""Erik Spock Gafni"",
  ""Yating Sheng"",
  ""Diogo Miguel S. Moitinho de Almeida""
]"
undetectable-llc,Undetectable Inc.,undetectable.ai,"[
  ""Christian Perry""
]"
uniswap-labs,Universal Navigation Inc.,uniswap.org,"[
  ""Hayden Adams""
]"
uniswapfoundation,Uniswap Foundation,unigrants.org,"[
  ""Kenneth Ng"",
  ""Devin Walsh""
]"
unspun,"unspun, Inc.",unspun.io,"[
  ""Estefania Almeida Cordero"",
  ""Walden Hoi Ming Lam"",
  ""Elizabeth Esponnette"",
  ""Kevin Martin"",
  ""Keziah Beall""
]"
v111a,Villa,,"[
  ""Andrew McPhee""
]"
variantai,Variant,variant.ai,"[
  ""Daniel Bulhosa Solorzano"",
  ""Benjamin Lee""
]"
vercept-ai-inc,Vercept AI Inc,vercept.com,"[
  ""Lucas Weihs"",
  ""Kiana Ehsani"",
  ""Matthew Deitke""
]"
virtual-staging-ai,Virtual Staging AI,virtualstagingai.app,"[
  ""Mikhail Andreev"",
  ""Michael Bonacina""
]"
vntg,"VNTG, Inc.",vantage.sh,"[
  ""Benjamin Schaechter""
]"
vrjbndr,Finch,casequill.com,"[
  ""Viraj Bindra"",
  ""Benjamin Weems""
]"
vulcan-elements,Vulcan Elements,vulcanelements.com,"[
  ""John Maslin""
]"
workgrounds,WorkGrounds,workgrounds.xyz,"[
  ""Nikhil Sethi"",
  ""Garrett Ullom""
]"
zeely,"Zeely, Inc.",zeely.ai,"[
  ""Yaroslav Samoiliuk"",
  ""Dmytro Samoiliuk""
]"
zenopower,Zeno Power,zenopower.com,"[
  ""Jacob Matthews"",
  ""Jonathan Segal"",
  ""Tyler Bernstein""
]"
zeplin,Zeplin,zeplin.io,"[
  ""Patrick Martinelli"",
  ""Ismail Ceylan""
]"
zystem-inc,"zystem, Inc.",zystem.io,"[
  ""Joel Raphael"",
  ""Israel Ogbole""
]"
